Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
175_Diethyleneglycol diacetate,iHILICpos,pHILICpos,pHILICpos_175_Diethyleneglycol diacetate,C8H14O5,190.084124,1.22,,17356,11991,19780,27284,30586,14315,12907,21689,15337,21823,23504,11322,25072,19509,15542,48306,34358,21051,30979,60008,15626,19550,21058,19262,69128,27714,34369,23005,17323,19404,17444,25129,11588,17798,23722,28287,39715,18405,26377,68854,18423,5430,25014,16624,17529,12509,37593,16198,58806,60675,14707,39596,89645,20459,15143,25250,22372,22337,15569,28533,40136,18208,19896,21521,13813
176_Dimethyl cyclohexane 1 4 dicarboxylate,iHILICpos,pHILICpos,pHILICpos_176_Dimethyl cyclohexane 1 4 dicarboxylate,C10H16O4,200.104859,1.05,,490141,501179,452606,314531,290780,336177,209021,466527,203866,291776,226974,172782,402863,226426,172751,294606,363574,292430,249037,336240,202113,241288,290033,186259,414025,223492,389990,341805,301041,335487,212174,298804,268429,396029,393027,386488,472095,318582,348263,344836,259520,233639,282853,242417,180131,232507,275619,244078,413203,363259,278806,393762,568664,356857,186040,177059,438716,335510,211033,345156,430684,274236,258507,204900,236940
178_DL 3 Aminoisobutyric acid,iHILICpos,pHILICpos,pHILICpos_178_DL 3 Aminoisobutyric acid,C4H9NO2,103.063329,5.95,,25488,15392,55569,311621,227135,136024,234068,515824,183782,540506,269659,228172,383874,113300,300281,767915,370517,245357,335467,469176,339825,361651,317659,286294,397178,286067,495390,815883,379087,248219,226721,297824,335014,557435,577237,367747,679922,271845,475345,472100,279775,235840,462922,332897,234128,193111,318825,375973,466778,668379,609270,591750,498093,306493,202997,223276,118421,273718,203020,720462,459481,330895,256272,207800,190442
180_Leucineamide,iHILICpos,pHILICpos,pHILICpos_180_Leucineamide,C6H14N2O,130.110613,5.02,,3073,4010,6235,49535,51053,138296,57106,95968,90926,134294,91609,71822,63935,43674,89557,379749,136739,35803,92943,129729,75128,130671,136800,76371,128932,88476,193645,116949,147405,90036,65135,90435,45460,162614,185892,150263,108356,69755,89809,129381,73229,47649,150686,89490,87304,42726,92412,80106,135278,134234,121716,198332,158718,87760,75608,85782,67152,70230,90625,156138,144078,110836,81881,77861,71129
181_Stachydrine,iHILICpos,pHILICpos,pHILICpos_181_Stachydrine,C7H14NO2,144.102454,3.84,,6418,4473,5293,204812,488218,262158,1348729,1068054,659524,2248377,1116781,1143477,2002083,429398,1086914,2381488,1670937,540928,1474357,1486823,437264,1749216,788026,1066965,1758065,1556690,2865172,2561165,1444020,396565,830357,1942815,1779328,1269465,266525,2324260,1514265,703398,1795700,1954202,846939,799438,948360,330172,515934,610388,756946,972272,1576196,2111685,736064,2814944,2459052,2099255,732424,652102,1138000,1449758,1296872,1844542,1592380,1178986,913638,772087,702140
184_Ecgonine,iHILICpos,pHILICpos,pHILICpos_184_Ecgonine,C9H15NO3,185.105193,4.31,,911,4307,5236,28373,24176,37533,39879,102680,36683,70820,29418,29025,62801,33211,22978,87634,69910,39492,29882,55362,35629,70725,33564,42512,121317,61653,87742,108437,65197,67226,36643,50813,36072,115021,62251,45146,95531,34524,100529,63582,26902,34639,67003,57357,41389,36023,27643,40676,77792,73329,51320,71363,59452,56680,31346,28665,31476,84776,33406,80524,75617,58819,38821,30838,25987
185_Ecgonine methyl ester,iHILICpos,pHILICpos,pHILICpos_185_Ecgonine methyl ester,C10H17NO3,199.120843,3.88,,2191,8165,3900,18733,30190,43029,39289,74049,38729,61006,51087,52695,69508,24035,44612,81196,80533,40110,41373,70421,32395,61409,53116,52191,131769,67489,82359,130001,62703,68581,42872,64567,55750,156938,64022,61074,104785,50124,76081,66988,39965,42265,74606,50845,53270,21010,40515,40144,80679,67166,63401,88378,62993,58651,25530,35457,43917,81872,46706,90397,90242,61123,47622,43202,36216
186_Eleostearic acid,iHILICpos,pHILICpos,pHILICpos_186_Eleostearic acid,C18H30O2,278.22458,0.79,,10428,13811,11852,75743,88221,93707,104003,169322,103076,209327,95429,139551,287420,73596,124413,152965,137870,80964,115589,178537,86480,154464,129008,104777,251046,130282,263521,175357,113472,104617,57335,154196,101475,183453,141837,213050,108216,97828,202234,110721,142539,71517,143133,110982,95889,66290,74353,147666,114417,131473,100960,177419,165929,126216,191723,99178,177293,171887,108347,185307,175859,138728,109981,80808,85897
187_Erucamide,iHILICpos,pHILICpos,pHILICpos_187_Erucamide,C22H43NO,337.334465,0.82,,4864,3753,1257,909333,65498,75123,2063699,115137,316510,227601,261644,77866,141005,62004,480947,267386,1557489,252587,166062,1508277,200500,325140,78777,437288,191370,94040,475763,54173,1099629,46463,45610,4223359,294467,229983,355018,1051047,746982,189395,701166,301637,854645,162177,85079,32451,168472,619998,20039,412903,106391,1008166,32586,1604566,180319,145244,34196,164220,661483,113070,824914,585691,577884,429925,350547,323672,353094
189_GLYCOCHENODEOXYCHOLATE,iHILICpos,pHILICpos,pHILICpos_189_GLYCOCHENODEOXYCHOLATE,C26H43NO5,449.314124,0.94,,398556,420437,436108,615316,310835,360153,291737,573647,231534,450723,310715,277963,369883,387976,255922,1508211,439205,355775,383265,454214,338029,410508,398089,252887,585860,387666,550599,478854,451387,434491,279350,399951,369079,556716,564068,561995,630688,380114,506258,460276,339134,254511,400820,324429,251968,316265,506765,294902,526328,814695,832559,576522,630795,393714,278423,1587917,573437,533571,202790,686181,620091,488372,386598,361447,341871
